year,region,county,town,Akce za zruš.Senátu a proti t.,,ods,ksčm,Str.venkova-spoj.občan.síly,Balbínova poetická strana,Republikáni,Republikáni Miroslava Sládka,Nové hnutí,České sociálně demokrat.hnutí,Humanistická aliance,Cesta změny,Strana zdravého rozumu,Česká strana národně sociální,Česká pravice,Volba pro budoucnost,sz,Strana za životní jistoty,"Koalice KDU-ČSL, US-DEU",Naděje,Národně demokratická strana,Moravská demokratická strana,Občanská demokratická aliance,čssd,Sdružení nezávislých,Demokratická liga,Pravý Blok,Strana demokrat.socialismu,Romská občanská iniciativa ČR,voters,votes_ok,votes_all
2002,Vysočina,Žďár nad Sázavou,Horní Libochová,0,0,18,27,6,,0,0,,,0,0,1,0,0,0,1,0,15,0,0,0,0,40,3,0,0,,,162,111,111
2002,Vysočina,Žďár nad Sázavou,Rudolec,0,0,6,26,4,,1,0,,,0,1,1,0,0,0,0,0,24,1,0,1,0,47,4,0,3,,,160,119,120
2002,Vysočina,Žďár nad Sázavou,Horní Loučky,0,0,16,31,2,,0,0,,,0,0,0,1,0,0,5,0,45,2,0,2,0,45,6,0,0,,,232,155,157
2002,Vysočina,Žďár nad Sázavou,Řečice,0,0,38,29,11,,0,0,,,0,1,0,2,0,0,0,0,69,0,0,0,1,64,11,0,2,,,348,228,228
2002,Vysočina,Žďár nad Sázavou,Horní Radslavice,0,0,11,3,4,,1,3,,,0,0,0,0,0,0,1,0,15,0,1,0,0,15,1,0,1,,,72,56,56
2002,Vysočina,Žďár nad Sázavou,Řikonín,0,0,5,2,3,,0,0,,,0,0,0,0,0,2,0,0,6,1,0,1,0,5,1,1,0,,,32,27,27
2002,Vysočina,Žďár nad Sázavou,Horní Rožínka,1,0,6,14,1,,0,0,,,0,0,0,0,0,0,1,1,18,1,0,0,0,11,4,0,0,,,74,58,60
2002,Vysočina,Žďár nad Sázavou,Sázava,2,0,55,32,11,,1,1,,,0,0,0,0,0,0,10,1,71,2,1,0,0,104,11,0,5,,,458,307,308
2002,Vysočina,Žďár nad Sázavou,Chlumek,0,0,2,39,6,,0,1,,,0,0,0,0,0,2,2,0,28,0,0,0,0,28,2,0,0,,,149,110,110
2002,Vysočina,Žďár nad Sázavou,Sazomín,0,0,10,15,2,,0,6,,,0,0,0,0,0,0,1,0,33,0,0,0,0,40,7,0,0,,,172,114,115
2002,Vysočina,Žďár nad Sázavou,Chlumětín,0,0,11,14,0,,0,2,,,0,0,0,0,0,0,0,1,19,0,2,0,0,52,2,0,0,,,156,103,103
2002,Vysočina,Žďár nad Sázavou,Sejřek,0,0,13,7,6,,0,0,,,0,0,1,0,0,0,2,2,20,2,0,1,0,34,5,0,0,,,133,93,94
2002,Vysočina,Žďár nad Sázavou,Chlum-Korouhvice,0,0,10,3,1,,0,0,,,0,0,0,0,0,1,0,0,2,1,0,0,0,13,7,0,0,,,42,38,38
2002,Vysočina,Žďár nad Sázavou,Sirákov,2,0,13,16,10,,0,0,,,0,0,0,5,0,0,3,2,29,0,0,0,1,48,6,0,0,,,195,135,135
2002,Vysočina,Žďár nad Sázavou,Jabloňov,1,0,16,26,13,,0,1,,,0,0,0,0,0,0,1,0,41,1,0,1,0,46,5,0,0,,,242,152,152
2002,Vysočina,Žďár nad Sázavou,Sklené,0,0,9,13,0,,0,1,,,0,1,0,0,0,1,0,0,11,0,0,0,0,18,1,0,0,,,76,55,55
2002,Vysočina,Žďár nad Sázavou,Jámy,0,0,27,65,3,,0,0,,,1,0,0,1,0,3,3,0,101,0,0,0,1,82,16,0,3,,,404,306,307
2002,Vysočina,Žďár nad Sázavou,Sklené nad Oslavou,0,0,19,16,6,,0,1,,,0,0,0,0,0,1,3,0,15,2,0,0,0,54,0,0,1,,,185,118,121
2002,Vysočina,Žďár nad Sázavou,Javorek,0,0,21,8,0,,0,0,,,0,0,1,0,0,0,0,1,4,0,0,0,0,14,0,0,2,,,71,51,51
2002,Vysočina,Žďár nad Sázavou,Skorotice,0,0,12,30,2,,0,2,,,0,0,1,1,0,0,0,0,7,0,0,0,0,30,0,0,0,,,122,85,85
2002,Vysočina,Žďár nad Sázavou,Jimramov,0,0,114,92,15,,0,3,,,2,1,2,3,1,1,12,3,130,1,1,1,1,236,56,1,1,,,982,677,679
2002,Vysočina,Žďár nad Sázavou,Skryje,2,0,1,14,1,,0,0,,,0,0,1,0,0,0,0,0,13,0,0,2,0,11,0,0,0,,,57,45,45
2002,Vysočina,Žďár nad Sázavou,Jívoví,0,0,10,34,17,,0,2,,,0,1,0,0,0,1,0,2,33,0,0,1,0,62,8,1,2,,,228,174,174
2002,Vysočina,Žďár nad Sázavou,Skřinářov,0,0,26,11,0,,0,0,,,0,0,1,0,1,0,2,0,13,0,0,1,0,41,1,0,0,,,128,97,97
2002,Vysočina,Žďár nad Sázavou,Kadolec,0,0,10,15,1,,0,1,,,0,0,0,0,0,0,1,2,11,0,0,0,0,22,5,0,1,,,119,69,69
2002,Vysočina,Žďár nad Sázavou,Sněžné,0,0,123,83,12,,0,5,,,0,0,0,0,1,1,5,1,68,1,0,0,2,145,26,0,2,,,645,475,475
2002,Vysočina,Žďár nad Sázavou,Kadov,0,0,13,9,1,,0,1,,,0,0,0,0,0,0,1,0,17,0,0,0,0,35,4,0,0,,,102,81,81
2002,Vysočina,Žďár nad Sázavou,Spělkov,0,0,7,6,1,,0,0,,,0,0,0,0,0,0,0,0,5,0,0,1,1,22,1,0,1,,,54,45,45
2002,Vysočina,Žďár nad Sázavou,Kaly,2,0,22,37,2,,0,0,,,0,0,0,1,0,2,1,0,24,0,0,1,1,47,3,0,0,,,200,143,148
2002,Vysočina,Žďár nad Sázavou,Strachujov,0,0,13,14,9,,0,0,,,0,0,1,0,1,0,0,2,6,0,0,0,0,33,6,0,0,,,130,85,86
2002,Vysočina,Žďár nad Sázavou,Karlov,0,0,8,16,0,,0,1,,,0,0,0,0,0,0,0,0,9,0,0,0,0,10,7,0,0,,,65,51,51
2002,Vysočina,Žďár nad Sázavou,Stránecká Zhoř,2,0,33,33,3,,2,0,,,0,1,1,2,0,2,3,1,85,1,0,0,2,54,7,1,2,,,439,235,239
2002,Vysočina,Žďár nad Sázavou,Katov,1,0,25,28,4,,0,0,,,0,0,0,0,0,0,0,0,12,0,0,0,1,26,2,0,2,,,157,101,103
2002,Vysočina,Žďár nad Sázavou,Strážek,2,0,29,79,36,,0,1,,,0,0,0,2,0,2,3,3,115,2,5,2,0,172,14,0,2,,,755,469,471
2002,Vysočina,Žďár nad Sázavou,Kněževes,0,0,7,9,0,,0,0,,,0,0,0,0,0,2,0,0,50,0,0,0,0,22,2,0,1,,,127,93,93
2002,Vysočina,Žďár nad Sázavou,Střítež,2,0,3,15,4,,0,0,,,0,0,0,0,0,0,0,0,10,0,0,0,0,17,4,0,0,,,78,55,56
2002,Vysočina,Žďár nad Sázavou,Koroužné,0,0,16,37,0,,0,3,,,0,0,1,0,0,0,0,3,39,8,0,0,0,37,11,0,1,,,241,156,156
2002,Vysočina,Žďár nad Sázavou,Sulkovec,0,0,3,6,8,,0,0,,,0,0,0,0,0,0,0,0,52,0,0,0,0,29,4,0,1,,,167,103,103
2002,Vysočina,Žďár nad Sázavou,Kotlasy,0,0,5,11,5,,0,0,,,0,0,0,0,0,0,0,0,14,0,0,0,0,25,2,0,0,,,101,62,63
2002,Vysočina,Žďár nad Sázavou,Světnov,1,0,22,52,5,,0,1,,,1,1,0,0,0,0,3,0,42,2,0,0,0,74,8,0,1,,,335,213,214
2002,Vysočina,Žďár nad Sázavou,Kozlov,0,0,7,27,11,,0,0,,,0,0,0,1,0,5,0,0,18,2,0,0,0,37,4,0,0,,,160,112,112
2002,Vysočina,Žďár nad Sázavou,Sviny,0,0,9,16,8,,0,3,,,0,0,0,0,0,1,0,0,14,0,0,0,0,6,2,0,0,,,78,59,59
2002,Vysočina,Žďár nad Sázavou,Krásné,2,0,9,8,5,,0,0,,,0,0,0,0,0,1,1,0,9,0,0,0,0,25,0,0,0,,,87,60,61
2002,Vysočina,Žďár nad Sázavou,Svratka,5,0,228,125,8,,0,14,,,2,0,1,3,0,0,11,5,153,5,0,1,3,280,28,0,1,,,1272,873,883
2002,Vysočina,Žďár nad Sázavou,Krásněves,0,0,12,20,4,,0,0,,,0,0,1,0,0,1,1,0,62,0,0,0,0,49,4,0,0,,,200,154,154
2002,Vysočina,Žďár nad Sázavou,Škrdlovice,1,0,71,62,2,,1,0,,,0,0,0,0,0,0,7,0,46,0,0,0,1,91,50,0,1,,,478,333,335
2002,Vysočina,Žďár nad Sázavou,Křídla,0,0,18,26,6,,0,0,,,1,0,0,2,0,13,2,0,39,1,0,0,0,37,18,1,0,,,213,164,165
2002,Vysočina,Žďár nad Sázavou,Štěpánov n.Svratkou,1,0,47,130,4,,0,8,,,0,0,0,2,0,1,3,6,52,0,0,0,1,114,10,1,0,,,581,380,380
2002,Vysočina,Žďár nad Sázavou,Křižánky,0,0,72,31,2,,0,1,,,0,0,0,0,0,0,3,0,31,0,0,0,0,70,9,0,0,,,298,219,221
