year,region,county,town,,Nezávislí,kdúčsl,ods,ksčm,sz,Unie svobody,Sdruž.pro rep.-Republ.str.Čsl.,čssd,Občanská koalice-Politic.klub,Demokratická unie,Důchodci za životní jistoty,Česká strana národně sociální,Moravská demokratická strana,voters,votes_ok,votes_all
1998,Severomoravský kraj,Olomouc,Šumvald,0,13,105,206,98,13,51,33,348,1,15,25,0,16,1271,924,928
1998,Severomoravský kraj,Olomouc,Těšetice,0,7,125,168,64,19,61,33,215,0,15,11,2,4,938,724,729
1998,Severomoravský kraj,Olomouc,Tovéř,0,6,13,91,23,5,27,5,82,0,4,8,0,1,345,265,267
1998,Severomoravský kraj,Olomouc,Troubelice,0,17,134,176,148,17,49,43,428,2,11,39,1,15,1327,1080,1083
1998,Severomoravský kraj,Olomouc,Tršice,0,14,95,210,88,17,55,45,329,3,12,28,2,15,1177,913,918
1998,Severomoravský kraj,Olomouc,Újezd,0,9,55,136,104,44,50,32,298,6,3,20,4,12,1061,773,779
1998,Severomoravský kraj,Olomouc,Uničov,0,77,498,1669,728,88,485,145,2982,19,79,182,10,52,9711,7014,7034
1998,Severomoravský kraj,Olomouc,Ústín,0,1,27,79,18,4,5,13,66,0,0,6,0,2,268,221,222
1998,Severomoravský kraj,Olomouc,Velká Bystřice,0,25,155,476,145,28,168,56,533,0,22,26,4,12,2173,1650,1660
1998,Severomoravský kraj,Olomouc,Velký Týnec,0,23,195,244,137,20,80,32,414,6,13,23,2,20,1634,1209,1217
1998,Severomoravský kraj,Olomouc,Velký Újezd,0,8,58,102,66,4,41,26,233,0,11,30,4,3,836,586,588
1998,Severomoravský kraj,Olomouc,Věrovany,0,9,64,167,118,10,53,38,273,1,12,20,0,8,1019,773,773
1998,Severomoravský kraj,Olomouc,Vilémov,0,13,55,66,39,7,9,16,95,1,1,13,0,5,363,320,320
1998,Severomoravský kraj,Olomouc,Želechovice,0,0,38,20,7,6,7,2,30,0,1,4,0,1,158,116,117
1998,Severomoravský kraj,Olomouc,Žerotín,0,7,58,38,32,5,30,4,70,0,4,2,0,4,338,254,255
