year,region,county,town,voters,votes_ok,votes_all
1996,Středočeský kraj,Beroun,Hořovice,4936,3797,3811
1996,Středočeský kraj,Beroun,Hostomice,1228,988,990
1996,Středočeský kraj,Beroun,Hředle,256,234,236
1996,Středočeský kraj,Beroun,Hudlice,948,799,803
1996,Středočeský kraj,Beroun,Hvozdec,185,170,170
1996,Středočeský kraj,Beroun,Hýskov,943,761,769
1996,Středočeský kraj,Beroun,Chaloupky,303,274,275
1996,Středočeský kraj,Beroun,Chlustina,158,145,146
1996,Středočeský kraj,Beroun,Chodouň,355,289,292
1996,Středočeský kraj,Beroun,Chrustenice,478,396,399
1996,Středočeský kraj,Beroun,Chyňava,1125,924,931
1996,Středočeský kraj,Beroun,Jivina,146,132,132
1996,Středočeský kraj,Beroun,Karlštejn,636,504,511
1996,Středočeský kraj,Beroun,Komárov,1859,1546,1554
1996,Středočeský kraj,Beroun,Koněprusy,134,113,113
1996,Středočeský kraj,Beroun,Korno,69,60,61
1996,Středočeský kraj,Beroun,Kotopeky,213,185,185
1996,Středočeský kraj,Beroun,Králův Dvůr,4162,2940,2950
1996,Středočeský kraj,Beroun,Kublov,445,386,394
1996,Středočeský kraj,Beroun,Lážovice,68,59,60
1996,Středočeský kraj,Beroun,Lhotka,228,194,194
1996,Středočeský kraj,Beroun,Libomyšl,379,325,327
1996,Středočeský kraj,Beroun,Liteň,737,562,564
1996,Středočeský kraj,Beroun,Loděnice,1184,913,916
1996,Středočeský kraj,Beroun,Lochovice,832,669,671
1996,Středočeský kraj,Beroun,Lužce,76,71,71
1996,Středočeský kraj,Beroun,Malá Víska,72,68,68
1996,Středočeský kraj,Beroun,Málkov,67,55,55
1996,Středočeský kraj,Beroun,Měňany,203,172,174
1996,Středočeský kraj,Beroun,Mezouň,305,271,271
1996,Středočeský kraj,Beroun,Mořina,442,363,363
1996,Středočeský kraj,Beroun,Mořinka,89,81,82
1996,Středočeský kraj,Beroun,Nenačovice,133,123,123
1996,Středočeský kraj,Beroun,Nesvačily,85,80,80
1996,Středočeský kraj,Beroun,Neumětely,380,313,315
1996,Středočeský kraj,Beroun,Nižbor,1163,954,962
1996,Středočeský kraj,Beroun,Nový Jáchymov,410,379,380
1996,Středočeský kraj,Beroun,Olešná,319,283,284
1996,Středočeský kraj,Beroun,Osek,591,504,505
1996,Středočeský kraj,Beroun,Osov,339,269,272
1996,Středočeský kraj,Beroun,Otmíče,100,99,100
1996,Středočeský kraj,Beroun,Otročiněves,343,287,289
1996,Středočeský kraj,Beroun,Podbrdy,116,107,108
1996,Středočeský kraj,Beroun,Podluhy,469,405,405
1996,Středočeský kraj,Beroun,Praskolesy,620,555,557
1996,Středočeský kraj,Beroun,Rpety,310,257,264
1996,Středočeský kraj,Beroun,Skřipel,95,66,66
1996,Středočeský kraj,Beroun,Skuhrov,289,227,232
1996,Středočeský kraj,Beroun,Srbsko,347,283,288
1996,Středočeský kraj,Beroun,Stašov,234,204,204
1996,Středočeský kraj,Beroun,Suchomasty,326,259,264
1996,Středočeský kraj,Beroun,Svatá,297,251,257
1996,Středočeský kraj,Beroun,Svatý Jan pod Skalou,73,64,67
1996,Středočeský kraj,Beroun,Svinaře,238,199,203
1996,Středočeský kraj,Beroun,Tetín,565,450,452
1996,Středočeský kraj,Beroun,Tlustice,594,513,516
1996,Středočeský kraj,Beroun,Tmaň,606,491,498
1996,Středočeský kraj,Beroun,Točník,184,167,168
1996,Středočeský kraj,Beroun,Trubín,152,131,131
1996,Středočeský kraj,Beroun,Trubská,93,85,85
1996,Středočeský kraj,Beroun,Újezd,425,390,396
1996,Středočeský kraj,Beroun,Velký Chlumec,280,240,247
1996,Středočeský kraj,Beroun,Vinařice,73,68,69
1996,Středočeský kraj,Beroun,Vižina,148,137,139
1996,Středočeský kraj,Beroun,Vráž,501,492,498
1996,Středočeský kraj,Beroun,Všeradice,287,232,234
1996,Středočeský kraj,Beroun,Vysoký Újezd,388,305,308
1996,Středočeský kraj,Beroun,Zadní Třebaň,429,373,377
1996,Středočeský kraj,Beroun,Zahořany,169,143,143
1996,Středočeský kraj,Beroun,Zaječov,1048,945,951
1996,Středočeský kraj,Beroun,Záluží,358,309,309
